source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
C:/OwnPrograms/skewTCloudSim/Game/kernelSky.cu , cudafe++ , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008d50_00000000-6_kernelSky.cpp4.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008d50_00000000-7_kernelSky.compute_52.cudafe1.cpp , compute_52 , nvcc , 1082.2231 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-13_kernelTest.compute_75.cpp1.ii , compute_75 , nvcc , 378.5683 , ms
C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-13_dataClass.compute_75.cpp1.ii , compute_75 , nvcc , 385.4286 , ms
C:/OwnPrograms/skewTCloudSim/Game/environment.cu , cudafe++ , C:/Users/finnt/AppData/Local/Temp/tmpxft_0000949c_00000000-6_environment.cpp4.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_0000949c_00000000-7_environment.compute_52.cudafe1.cpp , compute_52 , nvcc , 1146.1853 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-17_meteoformulas.compute_86.cpp1.ii , compute_86 , nvcc , 197.2429 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-13_kernelMaths.compute_75.cpp1.ii , compute_75 , nvcc , 386.0776 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-13_kernelGround.compute_75.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-10_kernelGround.compute_75.ptx , compute_75 , nvcc , 747.9617 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelSky.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/kernelSky.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008d50_00000000-13_kernelSky.compute_75.cpp1.ii , compute_75 , nvcc , 451.3222 , ms
C:/OwnPrograms/skewTCloudSim/Game/environment.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/environment.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_0000949c_00000000-13_environment.compute_75.cpp1.ii , compute_75 , nvcc , 453.2589 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-10_kernelGround.compute_75.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-16_kernelGround.compute_75.sm_75.cubin , sm_75 , nvcc , 192.0847 , ms
C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-13_microPhysics.compute_75.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-10_microPhysics.compute_75.ptx , compute_75 , nvcc , 949.9982 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-17_meteoformulas.compute_86.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-9_meteoformulas.compute_86.ptx , compute_86 , nvcc , 553.7166 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-9_meteoformulas.compute_86.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-20_meteoformulas.compute_86.sm_86.cubin , sm_86 , nvcc , 176.1637 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/kernelGround.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008fbc_00000000-17_kernelGround.compute_86.cpp1.ii , compute_86 , nvcc , 325.6486 , ms
C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-10_microPhysics.compute_75.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-16_microPhysics.compute_75.sm_75.cubin , sm_75 , nvcc , 353.1533 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-13_kernelTest.compute_75.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-10_kernelTest.compute_75.ptx , compute_75 , nvcc , 972.7349 , ms
C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/meteoformulas.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008b78_00000000-21_meteoformulas.compute_120.cpp1.ii , compute_120 , nvcc , 195.3104 , ms
C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-13_dataClass.compute_75.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-10_dataClass.compute_75.ptx , compute_75 , nvcc , 993.4653 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu , cicc ,  C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-13_kernelMaths.compute_75.cpp1.ii  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-10_kernelMaths.compute_75.ptx , compute_75 , nvcc , 1030.7018 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-10_kernelTest.compute_75.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-16_kernelTest.compute_75.sm_75.cubin , sm_75 , nvcc , 178.8892 , ms
C:/OwnPrograms/skewTCloudSim/Game/dataClass.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-10_dataClass.compute_75.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00000ca0_00000000-16_dataClass.compute_75.sm_75.cubin , sm_75 , nvcc , 174.3303 , ms
C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/microPhysics.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000097c0_00000000-17_microPhysics.compute_86.cpp1.ii , compute_86 , nvcc , 327.0627 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelMaths.cu , ptxas , C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-10_kernelMaths.compute_75.ptx  , C:/Users/finnt/AppData/Local/Temp/tmpxft_000092c8_00000000-16_kernelMaths.compute_75.sm_75.cubin , sm_75 , nvcc , 203.7666 , ms
C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu , cl.exe (preprocessing 1) , C:/OwnPrograms/skewTCloudSim/Game/kernelTest.cu  , C:/Users/finnt/AppData/Local/Temp/tmpxft_00008bc8_00000000-17_kernelTest.compute_86.cpp1.ii , compute_86 , nvcc , 380.0442 , ms
